
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1865  |     0.8594  |   0.7788  |               |              1.2298  |
|          |      3  |      1.1719  |     0.8398  |   0.8039  |               |              1.6051  |
|          |      4  |      1.1426  |     0.8691  |   0.7984  |               |              1.9796  |
|          |      5  |      1.0996  |     0.8887  |   0.8530  |               |              2.3550  |
|          |      6  |      1.0566  |     0.9062  |   0.8861  |               |              2.7303  |
|          |      7  |      0.9971  |     0.9512  |   0.9003  |               |              3.1057  |
|          |      8  |      0.9648  |     0.9678  |   0.9227  |               |              3.4812  |
|          |      9  |      0.9502  |     0.9746  |   0.9323  |               |              3.8261  |
|          |   eval  |      0.9502  |     0.9746  |   0.9323  |       0.9416  |              3.9925  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4297  |     0.7246  |   0.6965  |               |              0.4124  |
|          |      1  |      1.2402  |     0.8154  |   0.7389  |               |              0.8212  |
|          |      2  |      1.2314  |     0.8242  |   0.7574  |               |              1.2306  |
|          |      3  |      1.1748  |     0.8613  |   0.6800  |               |              1.6071  |
|          |      4  |      1.1455  |     0.8604  |   0.8694  |               |              1.9821  |
|          |      5  |      1.1006  |     0.8945  |   0.8414  |               |              2.3589  |
|          |      6  |      1.0420  |     0.9199  |   0.8657  |               |              2.7357  |
|          |      7  |      1.0215  |     0.9395  |   0.8971  |               |              3.1128  |
|          |      8  |      0.9780  |     0.9551  |   0.9236  |               |              3.4900  |
|          |      9  |      0.9438  |     0.9775  |   0.9332  |               |              3.8375  |
|          |   eval  |      0.9438  |     0.9775  |   0.9332  |       0.9396  |              4.0042  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4150  |     0.7109  |   0.6751  |               |              0.4138  |
|          |      1  |      1.2744  |     0.7969  |   0.7515  |               |              0.8230  |
